Date,Team,Player Value,Pick Value,Total Value
2021-09-07,Stanford Marshmallows,84367,29704,114071
2021-09-07,All-Pro KTC,80256,29704,109960
2021-09-07,Don’t Tread on Me,83763,29704,113467
2021-09-07,Stroud Boyz,62991,29704,92695
2021-09-07,The Shake’N’Bakerz,82782,29704,112486
2021-09-07,Low Taper Feyd,82233,29704,111937
2021-09-07,Washed up Wilsons,75602,29704,105306
2021-09-07,The Cleveland Josh Allens,74880,29704,104584
2021-09-07,Bye Week,67721,29704,97425
2021-09-07,Turrible. Just turrible.,67355,29704,97059
2021-09-08,Stanford Marshmallows,84561,27714,112275
2021-09-08,All-Pro KTC,80773,27714,108487
2021-09-08,Don’t Tread on Me,83801,27714,111515
2021-09-08,Stroud Boyz,56810,27714,84524
2021-09-08,The Shake’N’Bakerz,82185,27714,109899
2021-09-08,Low Taper Feyd,81348,27714,109062
2021-09-08,Washed up Wilsons,75655,27714,103369
2021-09-08,The Cleveland Josh Allens,74111,27714,101825
2021-09-08,Bye Week,68271,27714,95985
2021-09-08,Turrible. Just turrible.,67298,27714,95012
2021-09-09,Stanford Marshmallows,83966,27900,111866
2021-09-09,All-Pro KTC,81104,27900,109004
2021-09-09,Don’t Tread on Me,82931,27900,110831
2021-09-09,Stroud Boyz,56449,27900,84349
2021-09-09,The Shake’N’Bakerz,82676,27900,110576
2021-09-09,Low Taper Feyd,81796,27900,109696
2021-09-09,Washed up Wilsons,75279,27900,103179
2021-09-09,The Cleveland Josh Allens,74314,27900,102214
2021-09-09,Bye Week,67699,27900,95599
2021-09-09,Turrible. Just turrible.,67689,27900,95589
2021-09-10,Stanford Marshmallows,84255,27948,112203
2021-09-10,All-Pro KTC,81122,27948,109070
2021-09-10,Don’t Tread on Me,83537,27948,111485
2021-09-10,Stroud Boyz,56502,27948,84450
2021-09-10,The Shake’N’Bakerz,81979,27948,109927
2021-09-10,Low Taper Feyd,80696,27948,108644
2021-09-10,Washed up Wilsons,75560,27948,103508
2021-09-10,The Cleveland Josh Allens,74847,27948,102795
2021-09-10,Bye Week,68063,27948,96011
2021-09-10,Turrible. Just turrible.,67441,27948,95389
2021-09-11,Stanford Marshmallows,83949,28080,112029
2021-09-11,All-Pro KTC,80957,28080,109037
2021-09-11,Don’t Tread on Me,82847,28080,110927
2021-09-11,Stroud Boyz,56357,28080,84437
2021-09-11,The Shake’N’Bakerz,81872,28080,109952
2021-09-11,Low Taper Feyd,81285,28080,109365
2021-09-11,Washed up Wilsons,74998,28080,103078
2021-09-11,The Cleveland Josh Allens,75118,28080,103198
2021-09-11,Bye Week,68019,28080,96099
2021-09-11,Turrible. Just turrible.,67508,28080,95588
2021-09-12,Stanford Marshmallows,84372,28038,112410
2021-09-12,All-Pro KTC,81351,28038,109389
2021-09-12,Don’t Tread on Me,83191,28038,111229
2021-09-12,Stroud Boyz,56316,28038,84354
2021-09-12,The Shake’N’Bakerz,81614,28038,109652
2021-09-12,Low Taper Feyd,81042,28038,109080
2021-09-12,Washed up Wilsons,74660,28038,102698
2021-09-12,The Cleveland Josh Allens,75387,28038,103425
2021-09-12,Bye Week,67694,28038,95732
2021-09-12,Turrible. Just turrible.,67448,28038,95486
2021-09-13,Stanford Marshmallows,83153,23074,106227
2021-09-13,All-Pro KTC,82412,28114,110526
2021-09-13,Don’t Tread on Me,83087,28114,111201
2021-09-13,Stroud Boyz,58178,33154,91332
2021-09-13,The Shake’N’Bakerz,81353,28114,109467
2021-09-13,Low Taper Feyd,81458,28114,109572
2021-09-13,Washed up Wilsons,74758,28114,102872
2021-09-13,The Cleveland Josh Allens,75262,28114,103376
2021-09-13,Bye Week,67553,28114,95667
2021-09-13,Turrible. Just turrible.,66845,28114,94959
2021-09-14,Stanford Marshmallows,81668,23242,104910
2021-09-14,All-Pro KTC,82816,28308,111124
2021-09-14,Don’t Tread on Me,82315,28308,110623
2021-09-14,Stroud Boyz,57441,33374,90815
2021-09-14,The Shake’N’Bakerz,81836,28308,110144
2021-09-14,Low Taper Feyd,82047,28308,110355
2021-09-14,Washed up Wilsons,74567,28308,102875
2021-09-14,The Cleveland Josh Allens,75580,28308,103888
2021-09-14,Bye Week,68083,28308,96391
2021-09-14,Turrible. Just turrible.,67458,28308,95766
2021-09-15,Stanford Marshmallows,82018,23579,105597
2021-09-15,All-Pro KTC,82844,28768,111612
